regdate,first_name,last_name,email_address,homephone,street,city,state,zipcode,district
"",12/2/08 23:19,michael,panek,dntisler@jumpstartlab.com,8013626000,1434 wilson ave.,salt lake city,ut,84105,""
"",1/17/09 14:21,kate,cebulski,orazrya1@jumpstartlab.com,8015505000,1033 barbara pl apt 2,salt lake city,ut,84102,""
"",1/21/09 22:00,megan,engel,bgc64@jumpstartlab.com,8015505000,219 elizabeth st.,salt lake city,ut,84102,""
"",1/21/09 22:03,kristen,gilbert,tpollins6@jumpstartlab.com,8015505000,1343 ashwood circle,salt lake city,ut,84121,""
"",1/21/09 22:07,student,myett,wjang@jumpstartlab.com,8015505000,834 e. pond view way,salt lake city,ut,84106,""
"",1/21/09 22:09,adrienne,xx,rrthleen.oflaherty@jumpstartlab.com,8015505000,1213 medical plaza,salt lake city,ut,84121,""
"",1/21/09 22:11,eileen,ludmer,mhulger@jumpstartlab.com,8015505000,723 11th avenue,salt lake city,ut,84103,""
"",1/21/09 22:13,alex,boozel,jyhiang@jumpstartlab.com,8015505000,220 a street,salt lake city,ut,84103,""
"",1/21/09 22:15,susan,berkley,ceebst.4@jumpstartlab.com,8015505000,1033 barbara pl,salt lake city,ut,84102,""
"",1/21/09 22:17,emma,kopkin,sxcoffey@jumpstartlab.com,8015505000,1033 barbara pl,salt lake city,ut,84102,""
"",1/21/09 22:19,kate,armacost,hgle.saud@jumpstartlab.com,8015505000,1033 barbara pl,salt lake city,ut,84102,""
"",2/1/09 17:14,lindsey,woolworth,eoeal@jumpstartlab.com,8013594000,350 south 200 east #406,salt lake city,ut,84111,""
"",2/1/09 22:00,rich,wynn,vkrenzo.serna@jumpstartlab.com,8015505000,2887 wainwright road,salt lake city,ut,84109,""
